ym,n,disp,long,short,cash,spy,capin,ratio,vix,real_n
2012-12,88,0.013966485139813162,0.005702664773218491,0.008263820366594671,0.0001306358716670456,0.008934392582039319,2.023096249715794,1.2545488532930231,15.869999999999997,0
2013-01,88,0.013638666499414382,0.04037544778630528,-0.026736781286890898,0.00011432725600339207,0.05119040970942468,2.005209139949661,1.0950976535523358,18.02,0
2013-02,88,0.003461223179564294,0.0001788751610652739,0.00328234801849902,0.00012256175536256106,0.012759182757943188,1.9505957099511528,1.344271579235613,14.279999999999998,0
2013-03,88,0.0025267440787722986,0.02018094270904501,-0.017654198630272712,0.00011445859955414686,0.03797099470284482,1.8926289535884138,1.2008856117354827,15.509999999999998,0
2013-04,88,0.00871264376368542,0.01271485029837645,-0.0040022065346910305,0.00012263172523730473,0.019212658808656302,1.8946198101562128,1.4681360827742758,12.7,0
2013-05,88,0.012216472658765633,0.01925419124602012,-0.007037718587254488,8.993240601701979e-05,0.023608958764403942,1.8919207087056835,1.3771276523710505,13.52,0
2013-06,88,0.009415920420328239,-0.0071471041021837454,0.016563024522511984,7.370945594957571e-05,-0.013344108063055304,1.7207254005657049,1.038895642656898,16.3,0
2013-07,89,0.011063968456865407,0.039729818624143216,-0.02866585016727781,7.366757902968735e-05,0.051677071489745874,1.7765612937501882,1.025329022730358,16.86,0
2013-08,89,0.00519076279609835,-0.008631579998570478,0.013822342794668829,6.548772141753497e-05,-0.02999261966370581,1.7684178736975638,1.2793908384182378,13.449999999999998,0
2013-09,89,0.006579846345876857,0.017264307691602625,-0.010684461345725768,6.544219062884382e-05,0.031646468905837555,1.8367140567342641,1.050697892594472,17.01,0
2013-10,89,0.0021344932097922716,0.026288298530910855,-0.024153805321118584,7.362207353886211e-05,0.046307136039476005,1.8372352815171689,1.076954397267445,16.6,0
2013-11,89,0.004228470239971591,0.01647495789857616,-0.012246487658604569,6.545433618522926e-05,0.029637230895528832,1.8184957221561142,1.2869160302843905,13.750000000000002,0
2013-12,89,0.0015270486298247093,0.01052211732406104,-0.00899506869423633,7.364402790380051e-05,0.025926216133364655,1.8079627949326402,1.2841316407026837,13.699999999999998,0
2014-01,89,0.007964818127196302,-0.006134999206845064,0.014099817334041366,5.728537713495059e-05,-0.035248134485849736,1.7964963400847083,1.2741273858544282,13.720000000000002,0
2014-02,89,0.002302548546696599,0.023891942185490563,-0.021589393638793964,5.7280661559494225e-05,0.04551578257312827,1.8045801837241946,0.9538125238915965,18.41,0
2014-03,90,0.008177202427206856,0.0010937572289502903,0.0070834451982565655,6.543430580553181e-05,0.008295312872580007,1.84854129170229,1.270542633776733,14.000000000000002,0
