date,ticker,side,call_prem_pct,size,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2020-12-01,SBUX,buy_call,2.2533,1,9.6557,7.4023,0.074023,False
2020-12-01,SCHW,buy_call,3.5328,1,9.1581,5.6253,0.056253,False
2020-12-01,SO,buy_call,2.2533,1,3.6846,1.4313,0.014313,False
2020-12-01,SPGI,buy_call,3.5328,1,-6.3663,-3.5328,-0.035328,False
2020-12-01,SYK,buy_call,3.3064,1,4.9872,1.6807,0.016807,False
2020-12-01,T,buy_call,4.0571,1,0.0348,-4.0223,-0.040223,False
2020-12-01,TGT,buy_call,2.417,1,-1.2646,-2.417,-0.02417,False
2020-12-01,TJX,buy_call,2.417,1,7.5264,5.1093,0.051093,False
2020-12-01,TMO,skip,0.0,0,0.172,0.0,0.0,False
2020-12-01,TMUS,buy_call,4.0571,1,1.4367,-2.6204,-0.026204,False
2020-12-01,TXN,buy_call,2.6757,1,1.786,-0.8897,-0.008897,False
2020-12-01,UNH,buy_call,4.6984,1,4.2635,-0.4349,-0.004349,False
2020-12-01,UNP,buy_call,3.9329,1,2.5084,-1.4245,-0.014245,False
2020-12-01,V,buy_call,2.565,1,4.1405,1.5755,0.015755,False
2020-12-01,VRTX,buy_call,3.2155,1,3.7717,0.5562,0.005562,False
2020-12-01,VZ,buy_call,4.0571,1,-2.7479,-4.0571,-0.040571,False
2020-12-01,WFC,buy_call,4.6549,1,10.854,6.1991,0.061991,False
2020-12-01,WM,buy_call,3.0,1,-1.0073,-3.0,-0.03,False
2020-12-01,WMT,buy_call,2.417,1,-5.6548,-2.417,-0.02417,False
2020-12-01,XOM,buy_call,3.9329,1,10.712,6.7791,0.067791,False
2020-12-01,ZTS,buy_call,3.2155,1,3.1924,-0.0231,-0.000231,False
2021-01-01,AAPL,buy_call,5.5919,1,-0.5502,-5.5919,-0.055919,False
2021-01-01,ABBV,buy_call,3.1765,1,-4.3584,-3.1765,-0.031765,False
2021-01-01,ABT,buy_call,3.6151,1,12.8779,9.2628,0.092628,False
2021-01-01,ACN,buy_call,3.0424,1,-7.3849,-3.0424,-0.030424,False
2021-01-01,ADBE,buy_call,3.9524,1,-8.268,-3.9524,-0.039524,False
2021-01-01,AMAT,buy_call,3.1741,1,12.0278,8.8537,0.088537,False
2021-01-01,AMD,skip,0.0,0,-6.6187,0.0,0.0,False
2021-01-01,AMGN,buy_call,3.1765,1,5.0061,1.8296,0.018296,False
2021-01-01,AMT,skip,0.0,0,1.8589,0.0,0.0,False
2021-01-01,AMZN,buy_call,4.5475,1,-1.5576,-4.5475,-0.045475,False
2021-01-01,AVGO,buy_call,3.1741,1,3.7658,0.5917,0.005917,False
2021-01-01,AXP,buy_call,3.9796,1,-3.8458,-3.9796,-0.039796,False
2021-01-01,BA,buy_call,3.0,1,-9.2824,-3.0,-0.03,False
2021-01-01,BAC,buy_call,3.3967,1,-1.5678,-3.3967,-0.033967,False
2021-01-01,BKNG,buy_call,3.0,1,-12.7034,-3.0,-0.03,False
2021-01-01,BLK,buy_call,3.1226,1,-2.3171,-3.1226,-0.031226,False
2021-01-01,BMY,skip,0.0,0,-0.1773,0.0,0.0,False
2021-01-01,BRK-B,buy_call,1.9106,1,-1.7251,-1.9106,-0.019106,False
2021-01-01,C,buy_call,3.0,1,-5.952,-3.0,-0.03,False
2021-01-01,CAT,buy_call,5.7339,1,0.4505,-5.2834,-0.052834,False
2021-01-01,CHTR,buy_call,3.639,1,-8.1611,-3.639,-0.03639,False
2021-01-01,CI,skip,0.0,0,4.2607,0.0,0.0,False
2021-01-01,CMCSA,buy_call,3.639,1,-5.4008,-3.639,-0.03639,False
2021-01-01,COST,skip,0.0,0,-4.0126,0.0,0.0,False
2021-01-01,CRM,skip,0.0,0,1.3616,0.0,0.0,False
2021-01-01,CSCO,buy_call,4.0074,1,-0.3799,-4.0074,-0.040074,False
2021-01-01,CSX,buy_call,3.0,1,-5.4986,-3.0,-0.03,False
2021-01-01,CVS,buy_call,3.3225,1,4.9048,1.5823,0.015823,False
2021-01-01,CVX,skip,0.0,0,0.8881,0.0,0.0,False
2021-01-01,DE,buy_call,5.7339,1,7.649,1.9151,0.019151,False
2021-01-01,DHR,skip,0.0,0,7.1551,0.0,0.0,False
2021-01-01,DIS,buy_call,4.7123,1,-7.1807,-4.7123,-0.047123,False
2021-01-01,DUK,skip,0.0,0,2.6649,0.0,0.0,False
2021-01-01,EL,buy_call,3.0,1,-11.0973,-3.0,-0.03,False
2021-01-01,ELV,buy_call,3.3225,1,-7.2359,-3.3225,-0.033225,False
2021-01-01,EW,buy_call,3.6151,1,-9.4815,-3.6151,-0.036151,False
2021-01-01,GE,buy_call,5.7339,1,-1.0201,-5.7339,-0.057339,False
2021-01-01,GOOGL,skip,0.0,0,4.2633,0.0,0.0,False
2021-01-01,GS,buy_call,3.1226,1,3.3894,0.2668,0.002668,False
2021-01-01,HD,skip,0.0,0,2.5136,0.0,0.0,False
2021-01-01,HON,buy_call,4.0074,1,-8.1476,-4.0074,-0.040074,False
2021-01-01,HUM,buy_call,3.3225,1,-6.4768,-3.3225,-0.033225,False
2021-01-01,INTC,buy_call,3.1741,1,11.4211,8.247,0.08247,False
2021-01-01,INTU,buy_call,3.2594,1,-4.9019,-3.2594,-0.032594,False
2021-01-01,ISRG,buy_call,3.6151,1,-8.6126,-3.6151,-0.036151,False
2021-01-01,ITW,skip,0.0,0,-4.198,0.0,0.0,False
2021-01-01,JNJ,buy_call,3.1623,1,3.6536,0.4913,0.004913,False
2021-01-01,JPM,buy_call,3.1226,1,1.2591,-1.8635,-0.018635,False
2021-01-01,KO,buy_call,3.1439,1,-12.1991,-3.1439,-0.031439,False
2021-01-01,LLY,buy_call,3.5347,1,23.1758,19.6411,0.196411,False
2021-01-01,LMT,skip,0.0,0,-9.3414,0.0,0.0,False
2021-01-01,LOW,buy_call,2.7314,1,3.9499,1.2185,0.012185,False
2021-01-01,LRCX,buy_call,3.1741,1,2.7357,-0.4384,-0.004384,False
2021-01-01,MA,buy_call,3.9796,1,-11.3885,-3.9796,-0.039796,False
